epoch_global,phase,epoch_in_phase,term_mean,term_median,term_p95,term_max,lr,eta_eff_mean,train_bd,train_res,test_full,cos_m_g,reset_opt
1,full_loss_1,1,0.24050959944725037,0.23918135464191437,0.4027356505393982,1.0099376440048218,0.01,0.002405095994472504,3.7493470191955565,40.7986094156901,5.373545455932617,-0.048095202589686,True
2,full_loss_1,2,0.09747779369354248,0.09451770782470703,0.1698334813117981,0.9716278910636902,0.01,0.0009747779369354248,1.2148477766248915,27.09586016337077,4.615037536621093,0.41526642556826204,True
3,full_loss_1,3,0.04744986444711685,0.041429657489061356,0.09643351286649704,1.172296166419983,0.01,0.00047449864447116855,0.9996024343702529,17.80936262342665,2.9458908081054687,0.5551556961690708,True
4,full_loss_1,4,0.024555927142500877,0.018467096611857414,0.062341123819351196,0.8355377912521362,0.01,0.0002455592714250088,0.7255358431074355,10.955421765645346,1.7648630142211914,0.3679299996092529,True
5,full_loss_1,5,0.017502496019005775,0.009726827964186668,0.056728240102529526,0.8170777559280396,0.01,0.00017502496019005775,0.659564733505249,7.393284426795112,1.4035242080688477,0.8199560474249539,True
6,full_loss_1,6,0.0200770553201437,0.009643993340432644,0.07318770885467529,0.6568142175674438,0.01,0.000200770553201437,0.7166281382242838,4.822755734125773,1.6067306518554687,0.7632479690694498,True
7,full_loss_1,7,0.015136891975998878,0.00785720907151699,0.05285448208451271,0.5997750759124756,0.01,0.0001513689197599888,0.6920184135437012,4.910114235348171,1.3301336288452148,0.5220312168219701,True
8,full_loss_1,8,0.01417617779225111,0.007543455343693495,0.049608003348112106,0.5239835381507874,0.01,0.00014176177792251112,0.6062751981947158,3.478059927622477,1.1496295928955078,-0.05199655372674993,True
9,full_loss_1,9,0.014125640504062176,0.00735539011657238,0.04842822253704071,0.6468504071235657,0.01,0.00014125640504062176,0.5156116962432862,2.604065034124586,1.2280658721923827,0.7605731023125127,True
10,full_loss_1,10,0.013636508025228977,0.007080224342644215,0.04660047963261604,0.7228924036026001,0.005,6.818254012614489e-05,0.5762807077831692,2.397170318497552,1.1453619003295898,0.6757746785204679,True
11,full_loss_1,11,0.014870903454720974,0.007687864359468222,0.051305416971445084,0.7891206741333008,0.005,7.435451727360488e-05,0.34364346398247614,2.023423539267646,1.101285171508789,0.23610652246094518,True
12,full_loss_1,12,0.015421193093061447,0.00835562963038683,0.0523410402238369,0.7072393298149109,0.005,7.710596546530724e-05,0.25334541532728405,1.3625233239597745,0.9393754005432129,0.8113214606758223,True
13,full_loss_1,13,0.013974483124911785,0.00776303606107831,0.04712100327014923,0.6097226738929749,0.005,6.987241562455892e-05,0.27648607624901667,1.2079201340675354,0.9886924743652343,0.6595801130027037,True
14,full_loss_1,14,0.01753302291035652,0.009686681441962719,0.060808174312114716,0.6310953497886658,0.005,8.76651145517826e-05,0.243023063076867,1.092777384652032,0.9628618240356446,0.828574048733598,True
15,full_loss_1,15,0.015932096168398857,0.009103817865252495,0.05381941795349121,0.49954745173454285,0.005,7.966048084199429e-05,0.314447365866767,1.3363480899069045,0.9057985305786133,-0.5157645386938532,True
16,full_loss_1,16,0.01814207434654236,0.009934965521097183,0.06291216611862183,0.6449064016342163,0.005,9.07103717327118e-05,0.26388432449764676,1.010846495628357,0.9049513816833497,-0.3117097109529876,True
17,full_loss_1,17,0.01760382018983364,0.00991710927337408,0.0598762147128582,0.5210903882980347,0.005,8.801910094916821e-05,0.2064978109465705,1.1578699482811823,0.8207722663879394,0.883259716236878,True
18,full_loss_1,18,0.017584674060344696,0.010003658942878246,0.059219978749752045,0.5110931992530823,0.005,8.792337030172348e-05,0.19032007588280572,0.9253793093893263,0.7624622344970703,-0.3693305682108654,True
19,full_loss_1,19,0.016217628493905067,0.009093323722481728,0.054896920919418335,0.8032727241516113,0.005,8.108814246952533e-05,0.18543724219004312,0.8663055300712585,0.7871734619140625,0.2792986998316232,True
20,full_loss_1,20,0.01897113211452961,0.010616349056363106,0.06427663564682007,0.8055937886238098,0.0025,4.742783028632403e-05,0.19243655999501547,0.7309960226217905,0.8018547058105469,0.9163958347555476,True
21,full_loss_1,21,0.01811058446764946,0.010494115762412548,0.060824766755104065,0.45567086338996887,0.0025,4.527646116912365e-05,0.16304406854841444,0.6376616093847487,0.8041868209838867,0.5728328078076651,True
22,full_loss_1,22,0.022992724552750587,0.013132324442267418,0.07780041545629501,0.6089636087417603,0.0025,5.748181138187647e-05,0.16136346326933967,0.585034065776401,0.7328519821166992,0.9183024686892789,True
23,full_loss_1,23,0.017450163140892982,0.010202436707913876,0.05815065652132034,0.4832482635974884,0.0025,4.362540785223246e-05,0.12893939945432875,0.5265260736147562,0.7435003280639648,0.8190668735588896,True
24,full_loss_1,24,0.02194993384182453,0.011974908411502838,0.07559879869222641,0.6375167965888977,0.0025,5.487483460456133e-05,0.131628555059433,0.5230246351824867,0.8017155647277832,0.8523106032491704,True
25,full_loss_1,25,0.01984543539583683,0.01116023026406765,0.06674275547266006,0.6838268637657166,0.0025,4.961358848959207e-05,0.17363121377097235,0.6165405544969771,0.7100120544433594,0.4693469229730366,True
